Year,County,NCICCode,Homicide_sum,Robbery_sum,AggAssault_sum,Burglary_sum,LTtotal_sum
2018,Sonoma County,CA Highway Patrol - Sonoma,0,0,0,0,85
2018,Stanislaus County,Stanislaus Co. Sheriff's Department,13,133,258,614,1053
2018,Stanislaus County,Ceres,1,74,140,325,792
2018,Stanislaus County,Modesto,16,420,1363,1109,5420
2018,Stanislaus County,Newman,3,7,8,25,71
2018,Stanislaus County,Oakdale,0,18,21,109,375
2018,Stanislaus County,Patterson,0,8,45,45,224
2018,Stanislaus County,Riverbank,0,13,11,67,326
2018,Stanislaus County,Turlock,7,130,254,351,1447
2018,Stanislaus County,Waterford,0,6,14,27,53
2018,Stanislaus County,Hughson,0,2,5,17,60
2018,Stanislaus County,CSU Stanislaus,0,0,0,0,34
2018,Stanislaus County,Union Pacific RR - Stanislaus,0,0,0,2,1
2018,Stanislaus County,CA Highway Patrol - Stanislaus,0,0,0,5,162
2018,Sutter County,Sutter Co. Sheriff's Department,0,2,54,184,367
2018,Sutter County,Yuba City,1,75,153,234,1356
2018,Sutter County,Union Pacific RR - Sutter,0,0,0,0,0
2018,Sutter County,CA Highway Patrol - Sutter,0,0,0,0,20
2018,Tehama County,Tehama Co. Sheriff's Department,1,6,43,197,244
2018,Tehama County,Corning,1,4,33,78,169
2018,Tehama County,Red Bluff,2,20,119,151,451
2018,Tehama County,Union Pacific RR - Tehama,0,0,0,0,1
2018,Tehama County,CA Highway Patrol - Tehama,0,0,0,2,59
2018,Trinity County,Trinity Co. Sheriff's Department,2,7,57,89,102
2018,Trinity County,Union Pacific RR - Trinity,0,0,0,0,0
2018,Trinity County,CA Highway Patrol - Trinity,0,0,2,0,15
2018,Tulare County,Tulare Co. Sheriff's Department,13,60,259,627,1349
2018,Tulare County,Dinuba,0,28,147,77,427
2018,Tulare County,Exeter,0,3,11,49,193
2018,Tulare County,Farmersville,3,8,33,48,116
2018,Tulare County,Lindsay,1,8,25,30,129
2018,Tulare County,Porterville,3,52,139,320,935
2018,Tulare County,Tulare,3,61,163,325,1143
2018,Tulare County,Visalia,3,138,202,748,2701
2018,Tulare County,Woodlake,0,1,22,25,69
2018,Tulare County,Union Pacific RR - Tulare,0,0,0,0,1
2018,Tulare County,College of the Sequoias,0,0,0,10,51
2018,Tulare County,CA Highway Patrol - Tulare,0,0,0,0,106
2018,Tuolumne County,Tuolumne Co. Sheriff's Department,2,11,104,272,271
2018,Tuolumne County,Sonora,0,8,11,40,228
2018,Tuolumne County,CA Highway Patrol - Tuolumne,0,0,1,1,65
2018,Ventura County,Ventura Co. Sheriff's Department,3,21,98,154,473
2018,Ventura County,Camarillo,0,21,41,110,663
2018,Ventura County,Fillmore,1,7,24,27,94
2018,Ventura County,Ojai,0,3,2,12,50
2018,Ventura County,Oxnard,14,327,394,704,3568
2018,Ventura County,Port Hueneme,0,18,39,86,280
2018,Ventura County,Santa Paula,1,32,54,99,318
2018,Ventura County,Thousand Oaks,14,30,52,236,1127
2018,Ventura County,Ventura,2,117,272,481,2667
2018,Ventura County,Simi Valley,0,56,112,253,1118
2018,Sonoma County,Silverado DPR,0,0,0,0,0
2018,Ventura County,Moorpark,0,7,19,55,188
2018,San Bernardino County,Tehachapi DPR,0,0,1,8,2
2018,Sacramento County,Twin Cities DPR,0,0,0,0,0
2018,Ventura County,Union Pacific RR - Ventura,0,0,0,0,1
2018,Ventura County,CSU Channel Islands,0,0,2,1,39
2018,Ventura County,Ventura Community College,0,0,1,8,50
2018,Ventura County,CA Highway Patrol - Ventura,0,0,5,0,21
2018,Yolo County,Yolo Co. Sheriff's Department,2,7,65,82,194
2018,Yolo County,Davis,2,44,50,232,1366
2018,Yolo County,Winters,0,3,4,17,94
2018,Yolo County,Woodland,1,67,136,252,1146
2018,Yolo County,West Sacramento,1,92,115,224,931
2018,Yolo County,Union Pacific RR - Yolo,0,0,0,0,1
2018,Yolo County,UC Davis,0,3,11,37,591
2018,Yolo County,CA Highway Patrol - Yolo,0,0,0,1,17
2018,Yuba County,Yuba Co. Sheriff's Department,7,45,145,338,560
2018,Yuba County,Marysville,0,26,75,72,332
2018,Yuba County,Wheatland,0,0,3,9,29
2018,Yuba County,Union Pacific RR - Yuba,0,0,0,1,2
2018,Yuba County,CA Highway Patrol - Yuba,0,1,0,0,82
2019,Alameda County,Alameda Co. Sheriff's Department,5,210,391,354,1324
2019,Alameda County,Alameda,0,94,61,218,1958
2019,Alameda County,Albany,0,21,11,105,534
2019,Alameda County,Berkeley,0,369,175,771,4993
2019,Alameda County,Emeryville,0,114,40,95,2415
2019,Alameda County,Fremont,1,159,204,547,3408
2019,Alameda County,Hayward,5,275,218,448,3197
2019,Alameda County,Livermore,2,39,122,139,1279
2019,Alameda County,Newark,0,40,32,187,1090
2019,Alameda County,Oakland,78,2859,2211,2599,20228
2019,Alameda County,Piedmont,0,5,6,46,162
2019,Alameda County,Pleasanton,0,56,44,149,1386
2019,Alameda County,San Leandro,0,283,153,375,2941
2019,Alameda County,Union City,2,79,188,192,1300
2019,Alameda County,Alameda E. Bay Reg. Park Dist.,0,21,20,73,274
2019,Alameda County,CSU East Bay,0,0,1,15,78
2019,Alameda County,Union Pacific RR - Alameda,0,0,1,20,9
2019,Alameda County,Alameda BART,2,227,51,13,1634
2019,Alameda County,Dublin,0,43,57,114,1052
2019,Alameda County,UC Berkeley,1,22,34,56,646
2019,Alameda County,CA Highway Patrol - Alameda,0,0,0,0,40
2019,Alpine County,Alpine Co. Sheriff's Department,0,0,11,12,14
2019,Alpine County,CA Highway Patrol - Alpine,0,0,0,1,1
2019,Amador County,Amador Co. Sheriff's Department,1,8,54,146,268
2019,Amador County,Ione,0,1,9,9,35
2019,Amador County,Jackson,0,0,27,15,107
2019,Amador County,Sutter Creek,0,0,2,8,30
2019,Amador County,Union Pacific RR - Amador,0,0,0,0,0
2019,Amador County,CA Highway Patrol - Amador,0,0,0,0,15
